gbif_id,scientific_name,decimal_latitude,decimal_longitude,year,basis_of_record,country_code,coordinate_uncertainty_m
6235417012,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-1.575121,35.147895,2026,HUMAN_OBSERVATION,KE,31446.0
6235445619,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-25.045518,31.82151,2026,HUMAN_OBSERVATION,ZA,30003.0
6235474573,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-18.501638,23.523093,2026,HUMAN_OBSERVATION,BW,30649.0
6235744483,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-24.240223,31.471047,2026,HUMAN_OBSERVATION,ZA,30090.0
6235749692,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-1.483087,35.050447,2026,HUMAN_OBSERVATION,KE,31446.0
6235750575,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-25.180817,31.83087,2026,HUMAN_OBSERVATION,ZA,30003.0
6235800557,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-1.502963,35.341189,2026,HUMAN_OBSERVATION,KE,31446.0
6235837668,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-1.568298,35.364153,2026,HUMAN_OBSERVATION,KE,31446.0
6252531281,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-24.266021,31.961498,2026,HUMAN_OBSERVATION,ZA,30090.0
6273186494,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-28.377741,31.932526,2026,HUMAN_OBSERVATION,ZA,29631.0
6273257777,"Panthera leo (Linnaeus, 1758)",0.416965,37.57331,2026,HUMAN_OBSERVATION,KE,31451.0
6273346915,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-19.523341,23.128754,2026,HUMAN_OBSERVATION,BW,30562.0
6273496518,"Panthera leo (Linnaeus, 1758)",-28.264424,31.844242,2026,HUMAN_OBSERVATION,ZA,29631.0
6273705474,"Panthera leo (Linnaeus, 1758)",0.5917,37.42185,2026,HUMAN_OBSERVATION,KE,31451.0
6274327010,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-17.925042,24.99878,2026,HUMAN_OBSERVATION,BW,30699.0
6320514399,"Panthera leo (Linnaeus, 1758)",-28.250631,31.871563,2026,HUMAN_OBSERVATION,ZA,29631.0
6333984729,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-3.495298,38.911721,2026,HUMAN_OBSERVATION,KE,31422.0
6334384588,"Panthera leo (Linnaeus, 1758)",0.520461,37.508465,2026,HUMAN_OBSERVATION,KE,31451.0
6334903726,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-23.928261,31.557423,2026,HUMAN_OBSERVATION,ZA,179993.0
6187904101,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-19.012496,27.493787,2026,HUMAN_OBSERVATION,ZW,30598.0
6188061657,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-24.255417,31.916469,2026,HUMAN_OBSERVATION,ZA,30090.0
6188187480,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-18.491199,24.046004,2026,HUMAN_OBSERVATION,BW,30649.0
6188320889,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-18.462024,24.14768,2026,HUMAN_OBSERVATION,BW,30649.0
6188340393,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-25.104443,31.691593,2026,HUMAN_OBSERVATION,ZA,30003.0
6188408933,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-18.981694,16.657383,2026,HUMAN_OBSERVATION,NA,30615.0
6188437444,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-2.930489,34.919535,2026,HUMAN_OBSERVATION,TZ,31431.0
6188475826,"Panthera leo (Linnaeus, 1758)",-1.44422,35.158609,2026,HUMAN_OBSERVATION,KE,31446.0
6195250499,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-21.620493,23.183767,2026,HUMAN_OBSERVATION,BW,30357.0
6195304772,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-21.781428,23.228197,2026,HUMAN_OBSERVATION,BW,30357.0
6195351731,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-2.34691,34.759742,2026,HUMAN_OBSERVATION,TZ,31438.0
6195400522,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-27.97768,32.135217,2026,HUMAN_OBSERVATION,ZA,29680.0
6195402192,"Panthera leo melanochaita (C.E.H.Smith, 1858)",0.193308,36.853761,2026,HUMAN_OBSERVATION,KE,31451.0
6195423284,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-23.992573,31.589101,2026,HUMAN_OBSERVATION,ZA,194535.0
6195437757,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-21.397905,23.606736,2026,HUMAN_OBSERVATION,BW,30396.0
6195457379,"Panthera leo melanochaita (C.E.H.Smith, 1858)",-21.760604,23.270237,2026,HUMAN_OBSERVATION,BW,30357.0
